pkts_per_sec,bytes_per_sec,avg_pkt_size,src_ip_count,label
2.385974965480818,233.82554661712015,98.0,2,0
490.62564585762794,48081.31329404754,98.0,2,0
672.9889265067986,65952.91479766626,98.0,2,0
817.4930831844188,80114.32215207304,98.0,2,0
1105.7802464298193,108366.4641501223,98.0,2,0
761.2642472976194,74603.8962351667,98.0,2,0
789.1252341308262,77334.27294482097,98.0,2,0
966.5859177545757,94725.41993994842,98.0,2,0
1246.9389315890978,122200.0152957316,98.0,2,0
996.8043020516361,97686.82160106034,98.0,2,0
664.5927394810329,65130.08846914123,98.0,2,0
620.5944893428697,60818.259955601236,98.0,2,0
594.8694211165395,58297.20326942087,98.0,2,0
668.518056599812,65514.76954678157,98.0,2,0
727.4032626535294,71285.51974004589,98.0,2,0
637.9753828440387,62521.58751871579,98.0,2,0
732.0166894595866,71737.63556703948,98.0,2,0
894.0917053331848,87620.9871226521,98.0,2,0
917.6774176360477,89932.38692833268,98.0,2,0
875.814592276637,85829.83004311043,98.0,2,0
1061.4280077424312,104019.94475875827,98.0,2,0
1117.493193917029,109514.33300386883,98.0,2,0
874.5390820783119,85704.83004367456,98.0,2,0
932.7978062727365,91414.18501472817,98.0,2,0
885.2984024207061,86759.2434372292,98.0,2,0
944.1370455200312,92525.43046096306,98.0,2,0
945.3171300084697,92641.07874083004,98.0,2,0
971.5254751333226,95209.49656306561,98.0,2,0
1210.3086242568627,118610.24517717255,98.0,2,0
1171.3776829333922,114795.01292747242,98.0,2,0
914.3085522081609,89602.23811639978,98.0,2,0
880.9792588687096,86335.96736913355,98.0,2,0
790.5557186253837,77474.4604252876,98.0,2,0
922.7783978903018,90432.28299324957,98.0,2,0
836.7850704755596,82004.93690660484,98.0,2,0
823.2242656000992,80675.97802880972,98.0,2,0
1088.715428685939,106694.11201122202,98.0,2,0
1125.811228965115,110329.50043858128,98.0,2,0
850.0648702977618,83306.35728918065,98.0,2,0
1301.9591284888168,127591.99459190405,98.0,2,0
1125.7729474445741,110325.74884956828,98.0,2,0
1079.4694346073816,105788.0045915234,98.0,2,0
1304.898558208177,127880.05870440137,98.0,2,0
1301.6817502252181,127564.81152207137,98.0,2,0
1092.7485501958574,107089.35791919404,98.0,2,0
844.996788955666,82809.68531765527,98.0,2,0
1193.7874498448016,116991.17008479056,98.0,2,0
942.188166948055,92334.44036090939,98.0,2,0
1107.3503138494834,108520.33075724938,98.0,2,0
1032.2374789410935,101159.27293622718,98.0,2,0
861.5737922356765,84434.2316390963,98.0,2,0
952.8110686590643,93375.4847285883,98.0,2,0
1133.800215456678,111112.42111475444,98.0,2,0
955.5711766548033,93645.97531217072,98.0,2,0
1280.3752510727059,125476.77460512517,98.0,2,0
1090.0292351736218,106822.86504701493,98.0,2,0
1244.9080985652206,122000.99365939162,98.0,2,0
1029.008532123516,100842.83614810459,98.0,2,0
1188.4901287101447,116472.03261359419,98.0,2,0
931.3375511387461,91271.08001159712,98.0,2,0
1492.745816543128,146289.09002122653,98.0,2,0
1541.5103846292807,151068.0176936695,98.0,2,0
1183.0313627700712,115937.07355146698,98.0,2,0
1287.4597687572652,126171.05733821199,98.0,2,0
998.3363328244828,97836.96061679932,98.0,2,0
1964.4320671129408,192514.3425770682,98.0,2,0
2416.008686649423,236768.85129164346,98.0,2,0
